date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,7.7,5.7,9.0,48.4,190.0,12.2,1004.0
2021-01-03,7.5,5.9,10.0,5.4,164.0,15.7,1010.2
2021-01-04,7.1,5.5,8.0,17.7,225.0,21.7,1004.0
2021-01-05,6.5,3.4,9.0,15.3,111.0,17.6,1012.4
2021-01-06,6.7,4.5,9.0,1.7,64.0,8.4,1016.2
2021-01-07,6.4,2.8,9.0,0.0,30.0,10.3,1021.6
2021-01-08,7.0,2.1,9.0,6.4,276.0,13.4,1022.3
2021-01-09,5.1,2.2,7.0,4.1,26.0,9.5,1024.9
2021-01-10,6.8,4.8,9.0,3.1,41.0,8.7,1020.7
2021-01-11,8.0,6.3,9.0,17.7,92.0,17.3,1014.1
2021-01-12,9.3,7.3,11.0,24.6,132.0,11.1,1000.8
2021-01-13,7.2,3.5,9.0,8.1,251.0,24.0,1022.8
2021-01-14,6.8,5.0,9.0,0.7,22.0,11.4,1028.4
2021-01-15,8.9,4.0,13.0,0.3,285.0,10.1,1028.5
2021-01-16,5.7,2.5,8.0,0.5,12.0,6.9,1029.0
2021-01-17,6.8,4.6,10.0,2.0,328.0,8.0,1030.6
2021-01-18,4.9,2.0,8.0,0.0,1.0,6.4,1035.5
2021-01-19,5.7,3.0,8.0,0.0,22.0,6.5,1030.0
2021-01-20,6.1,4.7,7.0,0.0,8.0,7.5,1022.1
2021-01-21,5.8,3.3,8.0,1.0,4.0,10.2,1019.1
2021-01-22,3.4,-0.1,7.0,0.0,352.0,8.0,1019.3
2021-01-23,3.1,-0.5,6.0,0.1,75.0,5.6,1019.3
2021-01-24,4.9,3.4,6.0,5.9,120.0,12.3,1006.8
2021-01-25,4.5,-0.2,6.0,6.6,158.0,11.7,1008.7
2021-01-26,3.8,-0.9,7.0,0.3,85.0,22.3,1001.3
2021-01-27,4.8,3.1,6.0,2.8,64.0,16.6,1000.6
2021-01-28,4.3,2.4,5.0,1.6,4.0,12.4,1007.0
2021-01-29,4.3,2.0,7.0,0.1,18.0,7.3,1008.8
2021-01-30,6.2,3.7,9.0,2.0,54.0,10.4,1009.5
2021-01-31,6.6,5.0,7.0,10.5,15.0,8.9,1011.1
2021-02-01,6.5,5.3,8.0,9.6,340.0,10.7,1006.5
2021-02-02,6.2,4.2,7.0,7.1,160.0,12.9,1008.2
2021-02-03,6.2,3.8,8.0,0.0,297.0,13.4,1019.7
2021-02-04,6.9,5.7,9.0,4.6,226.0,21.1,1025.5
2021-02-05,8.3,6.4,10.0,2.2,242.0,21.5,1021.3
2021-02-06,7.5,5.2,9.0,5.5,252.0,32.3,1015.7
2021-02-07,5.6,2.4,8.0,0.0,266.0,22.4,1015.5
